Date,Name,Year,Letterboxd URI,Rating
8/23/21,Chungking Express,1994,https://boxd.it/1UDa,3.5
9/13/21,Another Round,2020,https://boxd.it/lkba,3.5
9/18/21,Enemy,2013,https://boxd.it/5xtO,3.5
9/20/21,The Father,2020,https://boxd.it/m8Ie,4.5
9/30/21,Shame,2011,https://boxd.it/2CxU,3
10/4/21,A Heart in Winter,1992,https://boxd.it/Ja0,4.5
10/10/21,Tenet,2020,https://boxd.it/leq4,3
10/10/21,Cinderella Man,2005,https://boxd.it/29he,4.5
10/12/21,Shiva Baby,2020,https://boxd.it/oIv0,2
10/12/21,The Guilty,2021,https://boxd.it/kOPW,4
10/12/21,Locke,2013,https://boxd.it/6hHC,4
10/15/21,Moonrise Kingdom,2012,https://boxd.it/2Wng,5
10/27/21,Little Women,2019,https://boxd.it/aSVk,4.5
11/5/21,Scenes from a Marriage,2021,https://boxd.it/wzSU,4
11/7/21,The Souvenir,2019,https://boxd.it/gXU4,2.5
11/21/21,The Grand Budapest Hotel,2014,https://boxd.it/3ZqO,5
11/28/21,Cinema Paradiso,1988,https://boxd.it/1UlA,4
12/9/21,The Painted Veil,2006,https://boxd.it/1OyS,4.5
12/9/21,A Tale of Winter,1992,https://boxd.it/1WJO,4
12/9/21,Rush,2013,https://boxd.it/3lyS,4.5
12/12/21,Jerry Maguire,1996,https://boxd.it/1YNS,4
12/16/21,"Ana, My Love",2017,https://boxd.it/fesM,4
12/18/21,When Harry Met Sally...,1989,https://boxd.it/29W2,4.5
12/25/21,"The French Dispatch of the Liberty, Kansas Evening Sun",2021,https://boxd.it/jLP8,4.5
1/15/22,Don't Look Up,2021,https://boxd.it/o0Hc,3
