Date,Name,Year,Letterboxd URI,Rating,Rewatch,Review,Tags,Watched Date
2025-05-29,In the Mood for Love,2000,https://boxd.it/9Q4EWn,5,,"""In the Mood for Love"" is gorgeous. It was a movie; I was biased once, so I was delaying watching it, but now I regret not having watched it before. Music (especially Yumenji's Theme), the camera, and the angles were really good, but what makes it special is the story. We watch two suffering people, first becoming friends for a common cause, then how they love each other, without any physical contact, without doing anything wrong, without cheating (""we won't be like them""). Although I should say that, I think the situation makes it easier for them to have feelings for each other, it's not a harder situation (like in the ""Love in the Afternoon"" of Eric Rohmer), or indeed, let me put it this way; their relation ,if happended wouldnt be morally too bad or very unfair. Still, what made it harder was their moral and ethical constraints, and most importantly, the love of women, I think, and the movie is processing it really well. I loved Mr Chow's inhalation of a cigarette, keeping his secret to himself, trying to move on, but still diligently working, taking the umbrella in the rain, and unfortunately finding out how it did happen. Meanwhile loved the scene when Mrs Chan tries to smoke, where she indeed tries to remember, maybe.  Anyways, good movie, so far this was the description, my real comment is: love and marriage are complicated. The relationship between two people, by their nature, needs to be very complex; a person would always want to search for the ""mood for love"" where they find at the beginning of their love for their spouse. But the ""mood for love"" will fluctuate, change in shape, maybe the need to explore, curiosity to know the other will disappear over time, and there will be less excitement, and sometimes these feelings will come back again for your spouse. But maybe just because of the feeling of curiosity, or novelty, in terms of frequency in a persons life, it is more likely to happen to feel that way for other people. But that's not important, because what makes two people stay together, have a stronger relationship is not ""the mood for love"". It is a lifetime friendship, it is respect, it is ignoring this kind of temporary 'mood for love' feelings, remembering how you built that friendship. It is simply becoming one vs the rest of the world. ",,2025-05-29
2025-06-03,The Battle of Algiers,1966,https://boxd.it/9TgrrH,3.5,,"Well, here again, the ultimate question is ""Should terror be acceptable for freedom/revolution/resistance?"". For me, the answer is still no.  If you think it is, then think about past PKK bombings in Turkey in 2010s; somehow, the reasoning/aim/motivation is similar to the FLN of 1960 in Algeria. Nothing gives people the right to kill civilians, innocent people. Even if the enemy is killing your people, you can only attack the enemy, not the people associated with or connected to the enemy. After all as also happened in Algeria, neither going to the mountains nor public terror attacks provided freedom to Algeria; it happened after the collective unarmed demonstrations.",,2025-06-02
2025-07-01,Frances Ha,2012,https://boxd.it/aaY7OR,3.5,,"Frances is a good-intended, good person, a good friend who is still on her way to finding her way. But she has a problem, the problem is she is 27, still trying to find her way, and while doing that, she is a bit arrogant, and careless towards other people. She is a child of a middle-class family, who has the privilege to quit college, and get back to college or take an immediate flight to Paris, and still has the privilege to complain about being poor, but at the same time she can also to refuse work as a secretary in the compan. As Benji says, ""That’s actually offensive to poor people"".  Yes as Benji says “27 is old, though.” which is to say being 27 is old enough to not care about the world or what you do, or to wander around dreaming about a dream job. 

Like she herself says, she also doesn't admit being something unwanted, or desired, and escapes with ""I am not a waiter, I am pouring"", “I’m not messy, I’m busy.”, “I’m so embarrassed. I’m not a real person yet.”,  “It’s kinda hard to explain… because I don’t really do it.”, “I have so much to do. I think I’ll probably read Proust.”... Frances is not accepting the reality and limits of herself until the end of the movie. Being that kind of dreamer is good up to some point, and everybody should have a bit of that, but I think it should not be too much to ignore your real abilities (being a director of dance choreography instead of being a dancer or accepting love from Benji).

This is an annoying privilege for some people. But after all, I liked the ending because finally, she is holding up. Maybe breaking up with that close friend was the necessary thing for her to hold on to the reality of life.",,2025-06-30
2025-07-04,The Darjeeling Limited,2007,https://boxd.it/acRkeV,3.5,,Now I am pretty sure that Wes is one of those brothers.,,2025-07-03
2025-08-03,The Sacrifice,1986,https://boxd.it/aAcZlH,1,,"This is a monologue, a poet, theatre or whatever but this is not cinema.",,2025-08-03
2025-08-07,12 Years a Slave,2013,https://boxd.it/aDulcX,4,,Watched for second time. I lost my belief on humanity again.,,2025-08-07
2025-08-10,Cure,1997,https://boxd.it/aFpHqb,0.5,,Bu neyin kafası aw. Yok cinci hocanın lanetleri 3.,,2025-08-09
2025-12-09,A Short Film About Killing,1988,https://boxd.it/bZ5xtd,5,,"Absolute cinema! The only bad thing about this movie is that it can make you really terrifed about the world while making you question everything about life, justice, joy and the circumstances. How much control we have over our lives and how much control we have over other people?",,2025-12-08
2025-12-27,The Town,2025,https://boxd.it/cfofwZ,2.5,,Başlangıçta idare ederdi vasatlaştı ve en sonunda heeerşeyi de içine katmaya çalışan her konuya değinmeye çalışıp hiç bi boku doğru düsgün anlatamayan anlamsızlıklarla dolu bi diziye dönüştü,,2025-12-26
2026-01-11,"Synecdoche, New York",2008,https://boxd.it/czxRsf,4.5,,"Its about struggle of life and everything 

""And even though the world goes on for eons and eons, you are only here for a fraction of a fraction of a second. Most of your time is spent being dead or not yet born. But while alive, you wait in vain, wasting years, for a phone call or a letter or a look from someone or something to make it all right. And it never comes or it seems to but it doesn't really. And so you spend your time in vague regret or vaguer hope that something good will come along. Something to make you feel connected, something to make you feel whole, something to make you feel loved. And the truth is I feel so angry, and the truth is I feel so fucking sad, and the truth is I've felt so fucking hurt for so fucking long and for just as long I've been pretending I'm OK, just to get along, just for, I don't know why, maybe because no one wants to hear about my misery, because they have their own. Well, fuck everybody. Amen.""",,2026-01-10
2026-02-14,Wuthering Heights,2026,https://boxd.it/d7qvpF,0.5,,Shit bulshit holly bullshit holy fucking bullshit,,2026-02-13
2026-02-17,Andrei Rublev,1966,https://boxd.it/dagXoR,3,,Half watched could maximum bare 2 hours,,2026-02-16
2026-03-14,One Battle After Another,2025,https://boxd.it/dvOVqD,4.5,,No fear just like tom fucking cruise,,2026-03-13
2026-03-16,Little Miss Sunshine,2006,https://boxd.it/dxdQK3,4.5,,Eat as many ice cream as possible,,2026-03-15
