Date,Name,Year,Letterboxd URI,Rating,Rewatch,Tags,Watched Date
2023-11-21,Bihter: A Forbidden Passion,2023,https://boxd.it/5c6ReZ,1,,,2023-11-21
2023-11-27,Last Call for Istanbul,2023,https://boxd.it/5dYjil,2,,,2023-11-26
2023-11-27,Submarine,2010,https://boxd.it/5dYnZ9,4.5,,,2023-11-26
2023-12-09,Fruitvale Station,2013,https://boxd.it/5i8vOp,3.5,,,2023-12-09
2023-12-10,Philadelphia,1993,https://boxd.it/5ivp7P,3.5,,,2023-12-10
2023-12-14,"Oslo, August 31st",2011,https://boxd.it/5jTJSj,4,,,2023-12-13
2023-12-14,Insomnia,2002,https://boxd.it/5jY8Rj,4,,,2023-12-14
2023-12-17,I Know This Much Is True,2020,https://boxd.it/5kXpat,4.5,,,2023-12-16
2023-12-20,Loveless,2017,https://boxd.it/5m9eHf,4,,,2023-12-19
2023-12-23,La Cérémonie,1995,https://boxd.it/5nlocf,3,,,2023-12-23
2023-12-27,Where Is the Friend's House?,1987,https://boxd.it/5pqrAx,4.5,,,2023-12-27
2024-01-02,Tiny Beautiful Things,2023,https://boxd.it/5sMHBH,3.5,,,2024-01-01
2024-01-02,Afire,2023,https://boxd.it/5tgAXL,3.5,,,2024-01-02
2024-01-04,Capernaum,2018,https://boxd.it/5u9Fbx,5,,,2024-01-03
2024-01-11,Mirror,1975,https://boxd.it/5yB9Sr,3,,,2024-01-06
2024-01-13,"The Boy, the Mole, the Fox and the Horse",2022,https://boxd.it/5zIRaV,3.5,,,2024-01-13
2024-01-31,May December,2023,https://boxd.it/5J5Ltp,3.5,,,2024-01-31
2024-02-04,Priscilla,2023,https://boxd.it/5KYRuR,3.5,,,2024-02-03
2024-02-04,Losers' Club,2011,https://boxd.it/5L17w9,3,,,2024-02-03
2024-02-04,Husbands and Wives,1992,https://boxd.it/5L42tl,4,,,2024-02-04
2024-02-08,Three Colours: Blue,1993,https://boxd.it/5Myztx,4.5,,,2024-02-07
2024-02-08,Three Colours: Red,1994,https://boxd.it/5MyzEv,4,,,2024-02-07
2024-02-09,Three Colours: White,1994,https://boxd.it/5MTGSB,4,,,2024-02-08
2024-02-09,Anatomy of a Fall,2023,https://boxd.it/5N1H4X,4.5,,,2024-02-08
2024-02-12,Damage,1992,https://boxd.it/5OvTNT,2.5,,,2024-02-11
2024-02-14,Perfect Days,2023,https://boxd.it/5PmwfZ,4,,,2024-02-13
2024-02-26,Adaptation.,2002,https://boxd.it/5UMdB5,4,,,2024-02-25
2024-03-07,Prisoners,2013,https://boxd.it/5ZCBpn,4.5,Yes,,2024-03-07
2024-03-07,A Round of Applause,2024,https://boxd.it/5ZCCpX,4,,,2024-03-07
2024-03-12,Monster,2023,https://boxd.it/623P3n,4,,,2024-03-12
2024-04-07,Certified Copy,2010,https://boxd.it/6dZfWV,4,,,2024-04-06
2024-04-07,The Usual Suspects,1995,https://boxd.it/6e3U9j,4.5,,,2024-04-07
2024-04-17,The Broken Circle Breakdown,2012,https://boxd.it/6i67Yp,4,,,2024-04-16
2024-04-23,The Zone of Interest,2023,https://boxd.it/6krHw7,3,,,2024-04-22
2024-04-26,Baby Reindeer,2024,https://boxd.it/6ltmUF,3.5,,,2024-04-25
2024-04-26,Manhattan,1979,https://boxd.it/6ltpAj,3.5,,,2024-04-25
